ownership_date,committer_id,ownership_count_90,ownership_count_80,ownership_count_70,commits_since_last_date,num_changed_loc_since_last_date,active_since_last_date,ownership_count_simple_majority,total_num_files_committed_to_so_far,num_files_committed_to_since_last_date,total_commits_so_far,minority_contributor_count,ownership_count_100
2001-07-10 09:05:53,43,1,1,1,0,0,f,1,8,0,7,2,1
2001-07-10 09:05:53,34,0,0,0,0,0,f,0,19,0,22,5,0
2001-07-10 09:05:53,14,1,1,1,0,0,f,1,4,0,3,2,1
2001-07-10 09:05:53,32,0,0,0,0,0,f,10,16,0,17,0,0
2001-07-10 09:05:53,27,0,0,0,0,0,f,0,1,0,1,1,0
2001-07-10 09:05:53,12,198,232,276,0,0,f,313,487,0,323,11,190
2001-07-10 09:05:53,21,80,81,84,0,0,f,159,566,0,357,1,80
2001-07-10 09:05:53,2,34,45,91,0,0,f,185,206,0,89,2,34
2001-07-10 09:05:53,15,0,0,0,0,0,f,0,1,0,1,1,0
2001-07-10 09:05:53,3,1,1,1,0,0,f,2,35,0,32,9,1
2001-07-10 09:05:53,10,1,1,1,0,0,f,8,63,0,96,7,1
2001-07-10 09:05:53,42,0,0,0,0,0,f,2,3,0,3,1,0
2001-07-10 09:05:53,41,0,0,0,0,0,f,0,2,0,1,1,0
2001-07-10 09:05:53,31,0,4,105,0,0,f,395,801,0,7,4,0
2001-07-10 09:05:53,11,0,0,0,0,0,f,8,51,0,27,12,0
2001-07-10 09:05:53,18,0,0,0,0,0,f,0,11,0,7,6,0
2001-07-10 09:05:53,22,5,5,5,0,0,f,7,86,0,44,10,5
2001-07-10 09:05:53,16,56,61,68,0,0,f,145,430,0,663,3,55
2001-07-10 09:05:53,24,5,5,5,0,0,f,10,86,0,19,21,5
2001-07-10 09:05:53,7,0,0,0,0,0,f,0,12,0,14,8,0
2002-04-16 14:13:14,43,5,5,5,128,7136,t,17,80,75,80,18,5
2002-04-16 14:13:14,34,0,0,0,0,0,f,0,19,0,22,10,0
2002-04-16 14:13:14,14,1,1,1,0,0,f,1,4,0,3,2,1
2002-04-16 14:13:14,32,0,0,0,0,0,f,10,16,0,17,0,0
2002-04-16 14:13:14,27,0,0,0,0,0,f,0,1,0,1,1,0
2002-04-16 14:13:14,12,1707,1869,2035,5076,560687,t,2640,3140,2860,1477,42,1576
2002-04-16 14:13:14,1,1,4,5,122,7395,t,17,101,101,18,7,1
2002-04-16 14:13:14,15,0,0,0,0,0,f,0,1,0,1,1,0
2002-04-16 14:13:14,10,0,0,0,19,488,t,10,74,19,104,27,0
2002-04-16 14:13:14,42,0,0,0,0,0,f,2,3,0,3,1,0
2002-04-16 14:13:14,11,0,0,0,0,0,f,8,51,0,27,24,0
2002-04-16 14:13:14,30,56,63,87,935,74733,t,219,821,821,312,126,56
2002-04-16 14:13:14,18,6,7,8,27,14851,t,10,24,14,22,10,6
2002-04-16 14:13:14,44,10,12,13,245,25038,t,55,247,247,91,47,10
2002-04-16 14:13:14,13,0,0,0,71,3447,t,1,105,105,31,32,0
2002-04-16 14:13:14,22,1,1,1,42,913,t,2,125,61,51,35,1
2002-04-16 14:13:14,16,31,38,54,1519,69214,t,382,938,813,1253,4,30
2002-04-16 14:13:14,33,19,19,20,262,17977,t,57,200,200,157,38,19
2002-04-16 14:13:14,37,29,59,111,1322,73695,t,226,994,994,147,54,27
2002-04-16 14:13:14,24,5,5,5,0,0,f,6,86,0,19,32,5
2002-04-16 14:13:14,7,0,0,0,0,0,f,0,12,0,14,10,0
2002-04-16 14:13:14,21,115,175,214,1648,123519,t,475,1172,931,706,1,100
2002-04-16 14:13:14,2,33,44,90,0,0,f,183,206,0,89,2,33
2002-04-16 14:13:14,3,0,0,0,7,83,t,0,38,6,36,18,0
2002-04-16 14:13:14,41,0,0,0,0,0,f,0,2,0,1,2,0
2002-04-16 14:13:14,35,17,34,41,465,39751,t,78,234,234,159,33,10
2002-04-16 14:13:14,31,0,15,115,1326,310747,t,439,1802,1518,15,12,0
2003-05-02 10:48:15,43,2,2,2,48,1136,t,9,88,35,105,32,2
2003-05-02 10:48:15,34,0,0,0,0,0,f,0,19,0,22,10,0
2003-05-02 10:48:15,14,1,1,1,0,0,f,1,4,0,3,3,1
2003-05-02 10:48:15,32,0,0,0,0,0,f,10,16,0,17,0,0
2003-05-02 10:48:15,27,0,0,0,0,0,f,0,1,0,1,1,0
2003-05-02 10:48:15,12,1702,1863,2028,202,11791,t,2627,3420,412,1534,116,1571
2003-05-02 10:48:15,1,1,3,5,0,0,f,17,101,0,18,7,1
2003-05-02 10:48:15,15,0,0,0,0,0,f,0,1,0,1,1,0
2003-05-02 10:48:15,10,0,0,0,1,2,t,8,74,1,105,39,0
2003-05-02 10:48:15,26,0,0,0,25,1030,t,0,19,19,10,4,0
2003-05-02 10:48:15,42,0,0,0,0,0,f,2,3,0,3,1,0
2003-05-02 10:48:15,38,3,3,3,51,1731,t,10,44,44,21,12,3
2003-05-02 10:48:15,11,0,0,0,0,0,f,8,51,0,27,31,0
2003-05-02 10:48:15,18,35,40,41,191,17565,t,51,86,70,153,20,35
2003-05-02 10:48:15,30,59,59,75,113,3926,t,134,849,61,388,249,59
2003-05-02 10:48:15,16,127,170,208,2499,175733,t,748,1702,1503,2198,10,124
2003-05-02 10:48:15,33,23,24,25,320,18160,t,37,373,234,330,142,23
2003-05-02 10:48:15,19,0,0,0,3,236,t,0,3,3,1,0,0
2003-05-02 10:48:15,21,134,158,202,1069,80212,t,453,1358,510,1001,35,130
2003-05-02 10:48:15,2,33,44,90,0,0,f,183,206,0,89,3,33
2003-05-02 10:48:15,3,0,0,0,0,0,f,0,38,0,36,27,0
2003-05-02 10:48:15,23,1,1,1,64,17016,t,3,59,59,16,9,1
2003-05-02 10:48:15,41,0,0,0,0,0,f,0,2,0,1,2,0
2003-05-02 10:48:15,35,38,53,59,649,38285,t,111,666,567,261,177,31
2003-05-02 10:48:15,31,0,12,151,2053,340532,t,716,2131,1456,34,13,0
2003-05-02 10:48:15,44,20,22,22,335,175701,t,33,414,276,231,117,20
