ownership_date,committer_id,ownership_count_90,ownership_count_80,ownership_count_70,commits_since_last_date,num_changed_loc_since_last_date,active_since_last_date,ownership_count_simple_majority,total_num_files_committed_to_so_far,num_files_committed_to_since_last_date,total_commits_so_far,minority_contributor_count,ownership_count_100
2005-06-21 11:51:45,70,0,0,0,0,0,f,57,57,0,1,0,0
2005-06-21 11:51:45,27,120,130,140,0,0,f,264,483,0,145,17,119
2005-06-21 11:51:45,48,11,15,24,0,0,f,178,230,0,18,0,11
2005-06-21 11:51:45,36,915,962,1059,0,0,f,2274,2932,0,351,0,909
2005-06-21 11:51:45,7,0,0,0,0,0,f,0,8,0,3,0,0
2005-06-21 11:51:45,3,0,0,0,0,0,f,1,21,0,13,1,0
2005-06-21 11:51:45,41,46,61,90,0,0,f,213,577,0,243,8,46
2005-06-21 11:51:45,42,0,1,1,0,0,f,1,3,0,6,0,0
2005-06-21 11:51:45,38,0,0,2,0,0,f,53,306,0,17,0,0
2005-06-21 11:51:45,52,55,56,58,0,0,f,66,161,0,37,6,55
2005-06-21 11:51:45,18,175,179,194,0,0,f,317,1135,0,137,9,174
2005-06-21 11:51:45,44,58,63,79,0,0,f,130,475,0,132,20,58
2005-06-21 11:51:45,60,0,0,0,0,0,f,3,178,0,7,7,0
2005-06-21 11:51:45,9,6,6,6,0,0,f,8,16,0,7,1,6
2005-11-28 05:15:38,70,0,0,0,39,1832,t,25,87,31,11,2,0
2005-11-28 05:15:38,43,15,15,15,76,2332,t,37,86,86,43,5,15
2005-11-28 05:15:38,45,1,1,1,24,737,t,1,28,28,8,2,1
2005-11-28 05:15:38,27,208,219,238,853,73831,t,511,917,473,312,34,208
2005-11-28 05:15:38,48,11,15,24,0,0,f,178,230,0,18,0,11
2005-11-28 05:15:38,28,874,903,950,1423,149500,t,1771,2314,2314,147,17,873
2005-11-28 05:15:38,36,751,788,895,679,44616,t,2453,3496,681,449,19,750
2005-11-28 05:15:38,3,0,0,0,9,423,t,2,28,7,21,3,0
2005-11-28 05:15:38,41,94,112,140,1228,63578,t,459,1932,1403,463,16,94
2005-11-28 05:15:38,77,1,1,1,6,167,t,2,5,5,4,2,1
2005-11-28 05:15:38,42,0,1,1,1,2,t,1,4,1,7,0,0
2005-11-28 05:15:38,38,404,413,448,1763,260042,t,1127,2921,2617,263,5,403
2005-11-28 05:15:38,31,0,0,0,6,198,t,0,6,6,1,4,0
2005-11-28 05:15:38,52,38,38,39,15,824,t,53,172,12,48,6,38
2005-11-28 05:15:38,18,192,202,230,1628,121937,t,761,2549,1699,354,7,191
2005-11-28 05:15:38,49,4,4,4,51,1668,t,6,55,55,24,9,4
2005-11-28 05:15:38,44,30,34,48,66,2306,t,102,507,55,156,28,30
2005-11-28 05:15:38,60,3,3,4,690,53707,t,65,1005,827,35,20,3
2005-11-28 05:15:38,22,6,6,6,33,4151,t,6,31,31,10,5,6
2005-11-28 05:15:38,9,4,4,5,265,20959,t,30,158,153,97,7,4
2005-11-28 05:15:38,7,0,0,0,0,0,f,0,8,0,3,0,0
2005-11-28 05:15:38,53,0,0,0,1,4,t,0,1,1,1,1,0
2006-05-20 09:54:17,70,0,0,0,0,0,f,25,87,0,11,8,0
2006-05-20 09:54:17,43,7,7,7,56,4481,t,38,112,51,77,19,7
2006-05-20 09:54:17,45,0,0,0,0,0,f,1,28,0,8,3,0
2006-05-20 09:54:17,27,179,197,229,1036,74875,t,914,1668,865,535,92,176
2006-05-20 09:54:17,48,11,15,24,0,0,f,178,230,0,18,0,11
2006-05-20 09:54:17,28,455,492,562,1162,89305,t,1696,2866,866,349,76,453
2006-05-20 09:54:17,36,742,779,886,31,2070,t,2424,3514,19,468,76,741
2006-05-20 09:54:17,77,1,1,1,0,0,f,1,5,0,4,2,1
2006-05-20 09:54:17,42,0,1,1,2,3,t,1,6,2,9,0,0
2006-05-20 09:54:17,38,293,326,385,2229,175633,t,1426,3959,1790,711,12,293
2006-05-20 09:54:17,18,5433,5457,5492,2537,428788,t,6423,8576,6547,664,15,5431
